"model","study_id","fitted","residual","standardized_residual","studentized_residual","cooks_distance","leverage","flag_abs_studentized_gt_3","flag_cooks_gt_4_over_n","flag_leverage_gt_2p_over_n"
"mediator_model_RQ1_H1","ALG26-049",3.61593558599084,0.217397747342493,0.410006162068894,0.408924211288687,0.00065586352108292,0.0153662333850483,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-050",2.50472501403033,-0.00472501403033377,-0.00903646556457804,-0.0090078260910391,9.0535562416236e-07,0.0424655175877472,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-051",3.79573880508366,-0.129072138416991,-0.242838470783102,-0.242113961256866,0.000157824671705539,0.0105919361203475,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-052",3.5967996177405,0.569867048926164,1.07072725849898,1.07122702013356,0.00229602759153648,0.00794720037193269,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-053",3.02116095262378,0.645505714042888,1.21965281133954,1.22155100857002,0.007199109583252,0.0189906349954003,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-054",3.70052878565074,-0.367195452317405,-0.693660922953307,-0.692517592760224,0.00227996844557804,0.0186011549922063,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-055",3.47060780636029,-0.470607806360291,-0.892677615600981,-0.892100701987366,0.00545201294985019,0.0266380210994111,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-056",4.34064378514322,0.159356214856777,0.303343967305688,0.302470585003841,0.000796764431949969,0.0334758724959863,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-057",3.61869644336215,0.214636889971185,0.408578502883379,0.407498810851091,0.00144642614110068,0.0334971879416198,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-058",3.25370553985972,0.412961126806949,0.777729848511809,0.776753000039898,0.00192501433444167,0.0125702133508383,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-059",3.46628537267209,0.0337146273279067,0.063854683625236,0.0636531124279777,2.47131161561681e-05,0.0236700193212463,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-060",3.35674877773757,-0.356748777737567,-0.670151931487443,-0.668979270532735,0.000850167670502493,0.00751522320914281,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-061",3.03200874204517,-0.365342075378507,-0.689028301953976,-0.687878621414178,0.00185340508269711,0.0153754166641536,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-062",3.18922920548396,0.477437461182709,0.908910700773907,0.908407798058004,0.00719097981687434,0.0336466315941062,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-063",3.01582334741826,-0.515823347418259,-0.993639431069307,-0.993599306032797,0.0146919565889844,0.0561787099843432,FALSE,FALSE,TRUE
"mediator_model_RQ1_H1","ALG26-064",2.98468383789537,0.348649495437965,0.671697769538362,0.67052681763192,0.00674522000623764,0.0564266129015019,FALSE,FALSE,TRUE
"mediator_model_RQ1_H1","ALG26-065",3.51780699161102,0.482193008388982,0.914909082475789,0.914434685654836,0.00584729053280032,0.0271825465378972,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-066",3.57622779207235,0.590438874594315,1.10879706656932,1.1096081223128,0.00213679840143142,0.00690415558189779,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-067",3.55930960730177,-0.559309607301773,-1.05951066942697,-1.05992446794875,0.00690796271845198,0.024023628908655,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-069",2.95056736278756,0.216099303879111,0.413503757544835,0.412416340233133,0.00194318172787778,0.0434818203436164,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-070",3.72720300534459,-0.227203005344594,-0.42847529860151,-0.427365576747136,0.00071121103130361,0.0152590983497221,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-071",3.39896932213723,-0.898969322137228,-1.69671519681602,-1.70695965896447,0.0123392265374672,0.0168557191615771,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-073",3.93992569429781,0.560074305702192,1.0573208127801,1.05771812894546,0.00491871770299311,0.0172950362588075,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-074",2.87661509905517,-0.709948432388508,-1.34833698743029,-1.35186337441993,0.0135926790013377,0.0290382394570956,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-075",3.71822889648326,-0.551562229816598,-1.03936641091602,-1.03963225482286,0.00375888800609183,0.0137271101306828,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-076",3.40928329238681,-0.409283292386811,-0.778517350249872,-0.777542539804792,0.00501567112473689,0.032041239393304,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-078",3.52153949129639,0.645127175370279,1.23004745735268,1.23206206135546,0.0143829664803314,0.0366317001814194,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-079",3.36141531434546,-0.194748647678792,-0.366357670560498,-0.36535168314763,0.000350756384180868,0.010345196278663,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-080",2.62612229409658,-0.292788960763242,-0.559775617854426,-0.558555508286373,0.00342285729988113,0.0418646710429873,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-081",3.87796211040322,-0.544628777069887,-1.03533785010021,-1.03557508486207,0.00853585487313261,0.0308691898632348,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-082",4.29806427638911,-0.298064276389109,-0.571159426503601,-0.569937771124402,0.00395171265695177,0.0462148155112641,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-083",4.24226708387327,-0.575600417206599,-1.09266215211661,-1.09333755090927,0.00863379614643108,0.0281129095144175,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-084",3.08682503752722,-0.586825037527216,-1.1083026906847,-1.10910950757453,0.00567604918193301,0.0181482717995711,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-085",4.29199388103992,0.208006118960076,0.395416346189674,0.39435821577132,0.00124450817728086,0.0308558067867761,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-086",2.90659885672691,-0.0732655233935733,-0.138556462128909,-0.138125688107351,0.000101726698142566,0.0207554676799878,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-087",4.01880746296298,0.147859203703692,0.279084373315415,0.278268389451164,0.000335947180806308,0.016960203247565,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-088",3.52901374538687,-0.862347078720199,-1.61944334117187,-1.62787725361647,0.0045780498207691,0.00693405177418725,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-089",3.21733928259563,0.115994050737708,0.219969357766098,0.219305730351342,0.000324809444181932,0.0261490994170692,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-090",3.5643819683754,0.935618031624604,1.76460279816133,1.77660328022446,0.0121960758200626,0.0154253430975966,FALSE,FALSE,FALSE
"mediator_model_RQ1_H1","ALG26-092",3.66773731049642,-0.00107064382975367,-0.00204329577104825,-0.00203681940838369,4.17347855674245e-08,0.0384475511779129,FALSE,FALSE,FALSE
